时间戳记,"1. How often do you use facial skincare products (e.g., moisturizer, serum, cleanser)?",2. Which of the following skincare product categories do you regularly use? (Select all that apply),3. Where do you typically get information about skincare products before purchasing? (Select all that apply),"1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Factor]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand Reputation]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Price/Value for Money]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Specific Ingredients / Efficacy]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Product Reviews & Recommendations]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Packaging Design (whether Eco-friendly / Sustainable)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [""Clean"" / Non-Toxic Formula]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Brand's Ethical Values (e.g., cruelty-free, carbon-neutral)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Prior Experience (with sample products, etc.)]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Origin]","1. How important are the following factors when you choose a skincare product?
(Please rate on a scale of 1 - Not at all Important to 5 - Extremely Important) [Marketing Frequency]",2. Trusted sources of information on skin-care products,3. Which best describes your current skincare spending per month?,4.  Channels of purchases,5. What behavioral factors do you think are necessary for healthy skin?,6. Do you regularly repurchase or use products from a particular brand?,7. Do you regularly repurchase or use a particular product with a specific function?,1. What is your gender?,2. What is the highest level of education you have completed?,3. In which region do you currently reside?,4.  Satisfaction with skin health,5. How old are you?,6. What is your profession?,7. What is your skin type?,8. Have you ever experienced side effects from skincare products?,9. How much psychological stress do you think you are under?,10. Do you consider your current lifestyle and habits to be healthy?
2025-11-4 上午05:29:00,4-6 times a week,"Serum, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube), Beauty blogs or magazines",,第 1 列,第 1 列,,,,第 1 列,,第 1 列,,,Friends and Acquaintances,100 - 200 (RMB/HKD),,,,,,Bachelor's Degree,Hong Kong / Macao,4,,,,,,
2025-11-4 上午05:43:00,Daily,"Cleanser, Moisturizer, Serum, Face Oil","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines",,,,第 1 列,第 1 列,,第 1 列,,,,,"Dermatologists, Friends and Acquaintances, Online Reviews",more than 500 (RMB/HKD),,,,,Female,Master's Degree or higher,Hong Kong / Macao,8,,,,,,
2025-11-4 上午05:56:36,Daily,"Cleanser, Moisturizer, Face Oil",In-store consultations,,,,,,,,,,,,"Dermatologists, Friends and Acquaintances, Sales Representatives, Online Reviews",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops",,,,Female,Bachelor's Degree,Hong Kong / Macao,6,,,,,,
2025-11-4 上午06:30:27,Daily,"Cleanser, Moisturizer, Face Oil, Toner","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family, In-store consultations",3,3,3,4,3,3,5,4,5,,,"Dermatologists, Pharmacists",200 - 500 (RMB/HKD),"Single cosmetic brand shops, Online shopping sites",,,,Female,Bachelor's Degree,Hong Kong / Macao,6,,,,,,
2025-11-4 上午06:31:24,Daily,"Cleanser, Moisturizer, Sunscreen","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines, Recommendations from friends/family, In-store consultations, Dermatologist or aesthetician recommendations",3,4,3,4,3,2,4,3,4,,,"Dermatologists, Friends and Acquaintances",Less than 100 (RMB/HKD),"Specialized cosmetic and skin-care shops, Online shopping sites",,,,Female,Bachelor's Degree,Mainland of China,5,,,,,,
2025-11-4 上午06:53:09,4-6 times a week,"Cleanser, Moisturizer, Serum","Brand websites, Beauty blogs or magazines, Recommendations from friends/family",,,1,2,,,3,,,,,"Dermatologists, Sales Representatives, Online Reviews",more than 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores",,,,Male,Bachelor's Degree,Hong Kong / Macao,7,,,,,,
2025-11-4 上午06:53:50,Daily,"Cleanser, Moisturizer, Eye Cream","Social media (e.g., Instagram, TikTok, YouTube), Recommendations from friends/family, In-store consultations",4,4,5,5,4,2,5,3,4,,,"Dermatologists, Friends and Acquaintances, Online Reviews",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops, Online shopping sites, Large grocery store chains",,,,Female,Master's Degree or higher,Hong Kong / Macao,7,,,,,,
2025-11-4 上午06:54:06,2-3 times a week,Cleanser,Recommendations from friends/family,,,1,2,3,,,,,,,"Dermatologists, Friends and Acquaintances",200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Department stores, Single cosmetic brand shops",,,,Male,Bachelor's Degree,Mainland of China,6,,,,,,
2025-11-4 上午06:55:12,Daily,"Cleanser, Moisturizer, Serum, Sunscreen, Toner, Eye Cream, Exfoliator (AHA/BHA)","Brand websites, Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Beauty blogs or magazines, Recommendations from friends/family",,,3,1,2,,,,,,,Dermatologists,200 - 500 (RMB/HKD),"Specialized cosmetic and skin-care shops, Single cosmetic brand shops",,,,Female,Master's Degree or higher,Hong Kong / Macao,8,,,,,,
2025-11-4 上午06:59:21,4-6 times a week,"Cleanser, Face Oil","Social media (e.g., Instagram, TikTok, YouTube), Online reviews (e.g., Amazon, Sephora), Recommendations from friends/family",5,2,4,3,2,4,"1, 3",1,3,,,Dermatologists,100 - 200 (RMB/HKD),Department stores,,,,Female,Bachelor's Degree,Hong Kong / Macao,4,,,,,,
